year,month,month_name,market,shipping_mode,customer_segment,total_orders,otif_orders,on_time_orders,complete_orders,late_risk_orders,late_deliveries,canceled_deliveries,otif_rate,on_time_rate,in_full_rate,late_delivery_rate,cancel_rate,avg_shipping_days,avg_scheduled_days,avg_delay_days
2015,3,mars,LATAM,Standard Class,Corporate,1017,192,619,334,375,375,53,18.87905604719764,60.86529006882989,32.84169124877089,36.87315634218289,5.2114060963618485,3,4,-1
2015,4,avril,LATAM,Same Day,Home Office,61,12,29,28,32,32,3,19.672131147540984,47.540983606557376,45.90163934426229,52.459016393442624,4.918032786885246,0,0,0
2015,4,avril,LATAM,Same Day,Corporate,60,9,25,14,30,30,10,15.0,41.66666666666667,23.333333333333332,50.0,16.666666666666664,0,0,0
2015,4,avril,LATAM,First Class,Corporate,190,0,0,51,172,172,18,0.0,0.0,26.842105263157894,90.52631578947368,9.473684210526317,2,1,1
2015,4,avril,LATAM,Standard Class,Home Office,580,116,356,192,211,211,32,20.0,61.37931034482759,33.10344827586207,36.37931034482759,5.517241379310345,3,4,-1
2015,4,avril,LATAM,First Class,Home Office,96,0,0,28,86,86,10,0.0,0.0,29.166666666666668,89.58333333333334,10.416666666666668,2,1,1
2015,4,avril,LATAM,First Class,Consumer,429,0,0,148,419,419,10,0.0,0.0,34.4988344988345,97.66899766899768,2.331002331002331,2,1,1
2015,4,avril,LATAM,Same Day,Consumer,121,15,46,29,67,67,8,12.396694214876034,38.01652892561984,23.96694214876033,55.371900826446286,6.6115702479338845,0,0,0
2015,4,avril,LATAM,Standard Class,Consumer,1678,356,1017,560,637,637,61,21.215733015494635,60.60786650774732,33.373063170441,37.961859356376635,3.635280095351609,3,4,-1
2015,4,avril,LATAM,Second Class,Consumer,500,22,122,156,361,361,22,4.3999999999999995,24.4,31.2,72.2,4.3999999999999995,3,2,1
2015,4,avril,LATAM,Second Class,Corporate,360,19,61,88,286,286,15,5.277777777777778,16.944444444444446,24.444444444444443,79.44444444444444,4.166666666666666,4,2,2
2015,4,avril,LATAM,Second Class,Home Office,174,7,32,51,131,131,11,4.022988505747127,18.39080459770115,29.310344827586203,75.28735632183908,6.321839080459771,3,2,1
2015,4,avril,LATAM,Standard Class,Corporate,877,209,545,313,328,328,11,23.831242873432153,62.1436716077537,35.689851767388824,37.40022805017104,1.2542759407069555,3,4,-1
2015,5,mai,Europe,Second Class,Home Office,5,0,0,5,5,5,0,0.0,0.0,100.0,100.0,0.0,4,2,2
2015,5,mai,Europe,First Class,Consumer,4,0,0,1,4,4,0,0.0,0.0,25.0,100.0,0.0,2,1,1
2015,5,mai,LATAM,Standard Class,Home Office,578,114,376,182,182,182,38,19.72318339100346,65.05190311418684,31.4878892733564,31.4878892733564,6.5743944636678195,3,4,-1
2015,5,mai,Europe,Standard Class,Home Office,10,1,8,3,2,2,0,10.0,80.0,30.0,20.0,0.0,4,4,0
2015,5,mai,Europe,Standard Class,Consumer,47,6,25,16,22,22,5,12.76595744680851,53.191489361702125,34.04255319148936,46.808510638297875,10.638297872340425,4,4,0
2015,5,mai,Europe,First Class,Corporate,16,0,0,7,16,16,0,0.0,0.0,43.75,100.0,0.0,2,1,1
2015,5,mai,LATAM,First Class,Corporate,331,0,0,115,306,306,25,0.0,0.0,34.74320241691843,92.44712990936556,7.552870090634441,2,1,1
2015,5,mai,Europe,Second Class,Consumer,9,1,2,3,7,7,0,11.11111111111111,22.22222222222222,33.33333333333333,77.77777777777779,0.0,3,2,1
2015,5,mai,Europe,Standard Class,Corporate,11,0,8,3,3,3,0,0.0,72.72727272727273,27.27272727272727,27.27272727272727,0.0,4,4,0
2015,5,mai,LATAM,Second Class,Corporate,277,23,49,91,225,225,7,8.303249097472925,17.689530685920577,32.851985559566785,81.2274368231047,2.527075812274368,4,2,2
2015,5,mai,LATAM,Same Day,Home Office,44,8,24,14,20,20,2,18.181818181818183,54.54545454545454,31.818181818181817,45.45454545454545,4.545454545454546,0,0,0
2015,5,mai,LATAM,Same Day,Consumer,152,20,63,56,89,89,2,13.157894736842104,41.44736842105263,36.84210526315789,58.55263157894737,1.3157894736842104,0,0,0
2015,5,mai,LATAM,Second Class,Home Office,147,14,24,51,117,117,9,9.523809523809524,16.3265306122449,34.69387755102041,79.59183673469387,6.122448979591836,3,2,1
2015,5,mai,Europe,Same Day,Corporate,3,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0,1,0,1
2015,5,mai,LATAM,Standard Class,Corporate,964,209,562,349,379,379,40,21.680497925311204,58.298755186722,36.203319502074685,39.315352697095435,4.149377593360995,4,4,0
2015,5,mai,LATAM,First Class,Home Office,168,0,0,29,155,155,13,0.0,0.0,17.261904761904763,92.26190476190477,7.738095238095238,2,1,1
2015,5,mai,LATAM,Standard Class,Consumer,1593,326,963,552,612,612,61,20.464532328939107,60.451977401129945,34.65160075329567,38.4180790960452,3.8292529817953542,3,4,-1
2015,5,mai,LATAM,Same Day,Corporate,64,9,26,12,38,38,0,14.0625,40.625,18.75,59.375,0.0,0,0,0
2015,5,mai,Europe,Second Class,Corporate,16,0,4,8,12,12,0,0.0,25.0,50.0,75.0,0.0,4,2,2
2015,5,mai,LATAM,First Class,Consumer,441,0,0,153,402,402,39,0.0,0.0,34.69387755102041,91.15646258503402,8.843537414965986,2,1,1
2015,5,mai,LATAM,Second Class,Consumer,477,39,112,174,352,352,29,8.176100628930817,23.48008385744235,36.477987421383645,73.79454926624737,6.079664570230608,3,2,1
2015,6,juin,Europe,Standard Class,Consumer,1570,317,893,527,646,646,72,20.191082802547772,56.87898089171974,33.566878980891715,41.146496815286625,4.585987261146497,4,4,0
2015,6,juin,Europe,First Class,Corporate,161,0,0,61,149,149,12,0.0,0.0,37.88819875776397,92.54658385093167,7.453416149068323,2,1,1
2015,6,juin,Europe,Standard Class,Corporate,1001,187,640,318,341,341,49,18.681318681318682,63.93606393606394,31.768231768231768,34.065934065934066,4.895104895104895,3,4,-1
2015,6,juin,Europe,Same Day,Corporate,107,16,64,31,43,43,4,14.953271028037381,59.813084112149525,28.971962616822427,40.18691588785047,3.7383177570093453,0,0,0
2015,6,juin,Europe,First Class,Home Office,129,0,0,42,128,128,1,0.0,0.0,32.55813953488372,99.2248062015504,0.7751937984496124,2,1,1
2015,6,juin,Europe,Same Day,Consumer,107,31,58,50,45,45,4,28.971962616822427,54.20560747663551,46.728971962616825,42.05607476635514,3.7383177570093453,0,0,0
2015,6,juin,Europe,First Class,Consumer,451,0,0,144,436,436,15,0.0,0.0,31.9290465631929,96.67405764966742,3.325942350332594,2,1,1
2015,6,juin,Europe,Same Day,Home Office,38,0,18,6,20,20,0,0.0,47.368421052631575,15.789473684210526,52.63157894736842,0.0,0,0,0
2015,6,juin,Europe,Second Class,Consumer,542,44,128,177,400,400,33,8.118081180811808,23.616236162361623,32.656826568265686,73.80073800738008,6.088560885608856,3,2,1
2015,6,juin,Europe,Standard Class,Home Office,581,109,345,203,230,230,28,18.76075731497418,59.380378657487086,34.93975903614458,39.586919104991395,4.819277108433735,4,4,0
2015,6,juin,Europe,Second Class,Corporate,290,11,48,95,236,236,6,3.793103448275862,16.551724137931036,32.758620689655174,81.37931034482759,2.0689655172413794,4,2,2
2015,6,juin,Europe,Second Class,Home Office,157,13,51,47,104,104,2,8.280254777070063,32.48407643312102,29.936305732484076,66.2420382165605,1.2738853503184715,3,2,1
2015,7,juillet,Europe,Same Day,Corporate,125,15,63,32,62,62,6,12.0,50.4,25.6,49.6,4.8,0,0,0
2015,7,juillet,Europe,Standard Class,Consumer,1625,316,972,505,621,621,52,19.446153846153848,59.815384615384616,31.076923076923073,38.215384615384615,3.2,4,4,0
2015,7,juillet,Europe,Standard Class,Corporate,993,212,586,332,375,375,55,21.34944612286002,59.01309164149043,33.434038267875124,37.764350453172206,5.53877139979859,3,4,-1
2015,7,juillet,Europe,First Class,Home Office,155,0,0,64,154,154,1,0.0,0.0,41.29032258064516,99.35483870967742,0.6451612903225806,2,1,1
2015,7,juillet,Europe,First Class,Consumer,382,0,0,105,368,368,14,0.0,0.0,27.486910994764397,96.33507853403141,3.664921465968586,2,1,1
2015,7,juillet,Europe,Second Class,Home Office,197,9,40,58,151,151,6,4.568527918781726,20.304568527918782,29.441624365482234,76.6497461928934,3.0456852791878175,4,2,2
2015,7,juillet,Europe,Same Day,Home Office,68,17,51,20,17,17,0,25.0,75.0,29.411764705882355,25.0,0.0,0,0,0
2015,7,juillet,Europe,Second Class,Consumer,488,16,69,167,400,400,21,3.278688524590164,14.139344262295081,34.22131147540984,81.9672131147541,4.30327868852459,4,2,2
2015,7,juillet,Europe,First Class,Corporate,231,0,0,100,231,231,0,0.0,0.0,43.290043290043286,100.0,0.0,2,1,1
2015,7,juillet,Europe,Standard Class,Home Office,523,100,305,170,215,215,7,19.120458891013385,58.31739961759082,32.504780114722756,41.10898661567878,1.338432122370937,3,4,-1
2015,7,juillet,Europe,Same Day,Consumer,193,23,126,53,63,63,9,11.917098445595855,65.28497409326425,27.461139896373055,32.64248704663213,4.66321243523316,0,0,0
2015,7,juillet,Europe,Second Class,Corporate,319,15,35,98,282,282,4,4.702194357366771,10.9717868338558,30.721003134796238,88.40125391849529,1.2539184952978055,4,2,2
2015,8,août,Europe,First Class,Corporate,315,0,0,96,311,311,4,0.0,0.0,30.476190476190478,98.73015873015873,1.2698412698412698,2,1,1
2015,8,août,Europe,Same Day,Consumer,136,39,71,66,63,63,2,28.676470588235293,52.20588235294118,48.529411764705884,46.32352941176471,1.4705882352941175,0,0,0
2015,8,août,Europe,First Class,Consumer,450,0,0,136,436,436,14,0.0,0.0,30.22222222222222,96.88888888888889,3.111111111111111,2,1,1
2015,8,août,Europe,Same Day,Corporate,70,13,42,17,28,28,3,18.571428571428573,60.0,24.285714285714285,40.0,4.285714285714286,0,0,0
2015,8,août,Europe,First Class,Home Office,124,0,0,42,124,124,0,0.0,0.0,33.87096774193548,100.0,0.0,2,1,1
2015,8,août,Europe,Second Class,Consumer,581,54,120,208,442,442,23,9.294320137693632,20.65404475043029,35.800344234079176,76.07573149741825,3.9586919104991396,4,2,2
2015,8,août,Europe,Same Day,Home Office,58,8,30,14,23,23,9,13.793103448275861,51.724137931034484,24.137931034482758,39.6551724137931,15.517241379310345,0,0,0
2015,8,août,Europe,Standard Class,Home Office,543,119,312,191,214,214,43,21.915285451197054,57.4585635359116,35.17495395948435,39.41068139963168,7.918968692449356,4,4,0
2015,8,août,Europe,Second Class,Home Office,188,7,40,54,143,143,5,3.723404255319149,21.27659574468085,28.723404255319153,76.06382978723404,2.6595744680851063,4,2,2
2015,8,août,Europe,Second Class,Corporate,340,27,66,123,260,260,14,7.941176470588235,19.411764705882355,36.17647058823529,76.47058823529412,4.117647058823529,4,2,2
2015,8,août,Europe,Standard Class,Corporate,926,201,560,324,350,350,49,21.706263498920087,60.475161987041034,34.98920086393088,37.79697624190065,5.291576673866091,3,4,-1
2015,8,août,Europe,Standard Class,Consumer,1542,300,966,519,542,542,82,19.45525291828794,62.64591439688716,33.65758754863813,35.1491569390402,5.317769130998703,3,4,-1
2015,9,septembre,Europe,Standard Class,Home Office,519,107,305,179,209,209,18,20.616570327552985,58.76685934489403,34.48940269749518,40.26974951830443,3.4682080924855487,4,4,0
2015,9,septembre,Europe,First Class,Home Office,150,0,0,49,148,148,2,0.0,0.0,32.666666666666664,98.66666666666667,1.3333333333333335,2,1,1
2015,9,septembre,Europe,Second Class,Home Office,189,7,47,37,132,132,13,3.7037037037037033,24.867724867724867,19.576719576719576,69.84126984126983,6.878306878306878,3,2,1
2015,9,septembre,Europe,First Class,Corporate,247,0,0,88,242,242,5,0.0,0.0,35.62753036437247,97.97570850202429,2.0242914979757085,2,1,1
2015,9,septembre,Europe,Standard Class,Corporate,904,161,573,311,322,322,37,17.809734513274336,63.38495575221239,34.402654867256636,35.61946902654867,4.092920353982301,3,4,-1
2015,9,septembre,Europe,First Class,Consumer,401,0,0,139,391,391,10,0.0,0.0,34.66334164588529,97.50623441396509,2.493765586034913,2,1,1
2015,9,septembre,Europe,Same Day,Consumer,147,44,88,61,48,48,22,29.931972789115648,59.863945578231295,41.49659863945578,32.6530612244898,14.965986394557824,0,0,0
2015,9,septembre,Europe,Same Day,Home Office,32,3,13,5,19,19,5,9.375,40.625,15.625,59.375,15.625,0,0,0
2015,9,septembre,Europe,Same Day,Corporate,62,10,48,17,14,14,5,16.129032258064516,77.41935483870968,27.419354838709676,22.58064516129032,8.064516129032258,0,0,0
2015,9,septembre,Europe,Second Class,Consumer,512,14,84,165,419,419,9,2.734375,16.40625,32.2265625,81.8359375,1.7578125,3,2,1
2015,9,septembre,Europe,Second Class,Corporate,328,29,64,103,254,254,10,8.841463414634147,19.51219512195122,31.402439024390244,77.4390243902439,3.048780487804878,4,2,2
2015,9,septembre,Europe,Standard Class,Consumer,1649,281,893,512,716,716,78,17.040630685263796,54.154032747119466,31.049120679199515,43.420254699818074,4.730139478471801,4,4,0
2015,10,octobre,Europe,Same Day,Corporate,36,4,25,4,11,11,3,11.11111111111111,69.44444444444444,11.11111111111111,30.555555555555557,8.333333333333332,0,0,0
2015,10,octobre,Europe,Second Class,Corporate,194,19,38,63,155,155,3,9.793814432989691,19.587628865979383,32.47422680412371,79.89690721649485,1.5463917525773196,4,2,2
2015,10,octobre,Europe,Same Day,Consumer,144,15,48,46,94,94,2,10.416666666666668,33.33333333333333,31.944444444444443,65.27777777777779,1.3888888888888888,0,0,0
2015,10,octobre,Europe,First Class,Home Office,143,0,0,37,140,140,3,0.0,0.0,25.874125874125873,97.9020979020979,2.097902097902098,2,1,1
2015,10,octobre,Europe,First Class,Corporate,212,0,0,55,202,202,10,0.0,0.0,25.943396226415093,95.28301886792453,4.716981132075472,2,1,1
2015,10,octobre,Europe,First Class,Consumer,365,0,0,106,331,331,34,0.0,0.0,29.041095890410958,90.68493150684932,9.315068493150685,2,1,1
2015,10,octobre,Europe,Second Class,Consumer,352,31,89,134,255,255,13,8.806818181818182,25.28409090909091,38.06818181818182,72.44318181818183,3.6931818181818183,3,2,1
2015,10,octobre,Europe,Same Day,Home Office,27,0,20,7,7,7,0,0.0,74.07407407407408,25.925925925925924,25.925925925925924,0.0,0,0,0
2015,10,octobre,Pacific Asia,First Class,Consumer,88,0,0,29,81,81,7,0.0,0.0,32.95454545454545,92.04545454545455,7.954545454545454,2,1,1
2015,10,octobre,Pacific Asia,First Class,Home Office,42,0,0,9,37,37,5,0.0,0.0,21.428571428571427,88.09523809523809,11.904761904761903,2,1,1
2015,10,octobre,Europe,Standard Class,Consumer,1118,213,672,351,430,430,41,19.051878354203936,60.10733452593918,31.3953488372093,38.46153846153847,3.667262969588551,3,4,-1
2015,10,octobre,Europe,Second Class,Home Office,147,9,21,51,116,116,10,6.122448979591836,14.285714285714285,34.69387755102041,78.91156462585033,6.802721088435375,4,2,2
2015,10,octobre,Pacific Asia,First Class,Corporate,48,0,0,18,48,48,0,0.0,0.0,37.5,100.0,0.0,2,1,1
2015,10,octobre,Pacific Asia,Second Class,Consumer,108,6,21,43,83,83,4,5.555555555555555,19.444444444444446,39.81481481481482,76.85185185185185,3.7037037037037033,3,2,1
2015,10,octobre,Pacific Asia,Same Day,Corporate,24,2,9,5,15,15,3,8.333333333333332,37.5,20.833333333333336,62.5,12.5,0,0,0
2015,10,octobre,Europe,Standard Class,Home Office,403,93,252,160,149,149,16,23.076923076923077,62.531017369727046,39.70223325062035,36.972704714640194,3.970223325062035,3,4,-1
2015,10,octobre,Pacific Asia,Same Day,Home Office,7,0,0,6,7,7,0,0.0,0.0,85.71428571428571,100.0,0.0,1,0,1
2015,10,octobre,Pacific Asia,Standard Class,Home Office,160,32,98,58,57,57,5,20.0,61.25000000000001,36.25,35.625,3.125,3,4,-1
2015,10,octobre,Europe,Standard Class,Corporate,806,158,521,248,275,275,40,19.602977667493796,64.64019851116626,30.76923076923077,34.11910669975186,4.962779156327544,3,4,-1
2015,10,octobre,Pacific Asia,Same Day,Consumer,33,1,11,5,22,22,3,3.0303030303030303,33.33333333333333,15.151515151515152,66.66666666666666,9.090909090909092,0,0,0
2015,10,octobre,Pacific Asia,Second Class,Home Office,59,8,14,22,45,45,0,13.559322033898304,23.728813559322035,37.28813559322034,76.27118644067797,0.0,4,2,2
2015,10,octobre,Pacific Asia,Second Class,Corporate,88,3,15,29,72,72,5,3.4090909090909087,17.045454545454543,32.95454545454545,81.81818181818183,5.681818181818182,3,2,1
2015,10,octobre,Pacific Asia,Standard Class,Corporate,243,56,167,71,75,75,9,23.045267489711936,68.72427983539094,29.218106995884774,30.864197530864196,3.7037037037037033,3,4,-1
2015,10,octobre,Pacific Asia,Standard Class,Consumer,455,84,253,157,199,199,13,18.461538461538463,55.604395604395606,34.505494505494504,43.73626373626374,2.857142857142857,4,4,0
2015,11,novembre,Pacific Asia,Same Day,Corporate,101,29,56,43,45,45,0,28.71287128712871,55.44554455445545,42.57425742574257,44.554455445544555,0.0,0,0,0
2015,11,novembre,Pacific Asia,Standard Class,Home Office,602,120,373,184,223,223,29,19.93355481727575,61.96013289036545,30.564784053156146,37.04318936877076,4.817275747508306,3,4,-1
2015,11,novembre,Pacific Asia,First Class,Consumer,421,0,0,124,410,410,11,0.0,0.0,29.453681710213775,97.38717339667458,2.6128266033254155,2,1,1
2015,11,novembre,Pacific Asia,First Class,Corporate,217,0,0,90,211,211,6,0.0,0.0,41.474654377880185,97.23502304147466,2.7649769585253456,2,1,1
2015,11,novembre,Pacific Asia,Same Day,Consumer,140,34,77,59,63,63,17,24.285714285714285,55.00000000000001,42.142857142857146,45.0,12.142857142857142,0,0,0
2015,11,novembre,Pacific Asia,First Class,Home Office,141,0,0,61,134,134,7,0.0,0.0,43.262411347517734,95.0354609929078,4.964539007092199,2,1,1
2015,11,novembre,Pacific Asia,Second Class,Consumer,528,31,103,155,414,414,16,5.871212121212121,19.507575757575758,29.35606060606061,78.4090909090909,3.0303030303030303,4,2,2
2015,11,novembre,Pacific Asia,Second Class,Corporate,333,20,74,117,241,241,18,6.006006006006006,22.22222222222222,35.13513513513514,72.37237237237237,5.405405405405405,3,2,1
2015,11,novembre,Pacific Asia,Same Day,Home Office,24,9,23,9,1,1,0,37.5,95.83333333333334,37.5,4.166666666666666,0.0,0,0,0
2015,11,novembre,Pacific Asia,Standard Class,Consumer,1604,305,972,503,610,610,59,19.01496259351621,60.59850374064838,31.359102244389025,38.02992518703242,3.678304239401496,4,4,0
2015,11,novembre,Pacific Asia,Second Class,Home Office,193,20,42,65,143,143,8,10.362694300518134,21.761658031088082,33.67875647668394,74.09326424870466,4.145077720207254,4,2,2
2015,11,novembre,Pacific Asia,Standard Class,Corporate,931,199,562,317,346,346,45,21.374865735767994,60.36519871106337,34.049409237379166,37.16433941997852,4.833512352309345,3,4,-1
2015,12,décembre,Pacific Asia,Second Class,Corporate,315,15,44,81,263,263,8,4.761904761904762,13.968253968253968,25.71428571428571,83.4920634920635,2.5396825396825395,4,2,2
2015,12,décembre,Pacific Asia,First Class,Home Office,130,0,0,27,128,128,2,0.0,0.0,20.76923076923077,98.46153846153847,1.5384615384615385,2,1,1
2015,12,décembre,Pacific Asia,First Class,Corporate,260,0,0,85,248,248,12,0.0,0.0,32.69230769230769,95.38461538461539,4.615384615384616,2,1,1
2015,12,décembre,Pacific Asia,Same Day,Consumer,151,30,92,46,58,58,8,19.867549668874172,60.9271523178808,30.4635761589404,38.41059602649007,5.298013245033113,0,0,0
2015,12,décembre,Pacific Asia,First Class,Consumer,450,0,0,143,414,414,36,0.0,0.0,31.77777777777778,92.0,8.0,2,1,1
2015,12,décembre,Pacific Asia,Same Day,Corporate,131,22,76,33,55,55,9,16.793893129770993,58.01526717557252,25.190839694656486,41.98473282442748,6.870229007633588,0,0,0
2015,12,décembre,Pacific Asia,Standard Class,Home Office,573,94,362,163,204,204,26,16.404886561954623,63.17626527050611,28.44677137870855,35.602094240837694,4.537521815008725,3,4,-1
2015,12,décembre,Pacific Asia,Same Day,Home Office,46,9,39,14,7,7,2,19.565217391304348,84.78260869565217,30.434782608695656,15.217391304347828,4.3478260869565215,0,0,0
2015,12,décembre,Pacific Asia,Standard Class,Consumer,1595,283,932,485,627,627,74,17.74294670846395,58.43260188087774,30.407523510971785,39.310344827586206,4.639498432601881,4,4,0
2015,12,décembre,Pacific Asia,Second Class,Home Office,203,14,31,73,164,164,8,6.896551724137931,15.270935960591133,35.960591133004925,80.78817733990148,3.9408866995073892,4,2,2
2015,12,décembre,Pacific Asia,Second Class,Consumer,523,33,107,162,397,397,20,6.309751434034416,20.45889101338432,30.975143403441685,75.90822179732314,3.824091778202677,3,2,1
2015,12,décembre,Pacific Asia,Standard Class,Corporate,994,210,612,316,372,372,17,21.12676056338028,61.56941649899397,31.790744466800803,37.42454728370221,1.710261569416499,3,4,-1
2016,1,janvier,Pacific Asia,Standard Class,Home Office,580,107,329,194,240,240,22,18.448275862068968,56.72413793103448,33.44827586206897,41.37931034482759,3.793103448275862,4,4,0
2016,1,janvier,Pacific Asia,First Class,Consumer,402,0,0,117,377,377,25,0.0,0.0,29.1044776119403,93.78109452736318,6.218905472636816,2,1,1
2016,1,janvier,Pacific Asia,Same Day,Corporate,120,15,73,27,47,47,0,12.5,60.83333333333333,22.5,39.166666666666664,0.0,0,0,0
2016,1,janvier,Pacific Asia,First Class,Corporate,234,0,0,46,231,231,3,0.0,0.0,19.65811965811966,98.71794871794873,1.282051282051282,2,1,1
2016,1,janvier,Pacific Asia,Standard Class,Corporate,938,204,558,338,375,375,23,21.748400852878465,59.488272921108745,36.034115138592746,39.97867803837953,2.4520255863539444,4,4,0
2016,1,janvier,Pacific Asia,Same Day,Home Office,41,3,20,12,21,21,0,7.317073170731707,48.78048780487805,29.268292682926827,51.21951219512195,0.0,0,0,0
2016,1,janvier,Pacific Asia,Second Class,Home Office,171,11,44,65,126,126,1,6.432748538011696,25.730994152046783,38.01169590643275,73.68421052631578,0.5847953216374269,3,2,1
