year_month,year,month,year_month_label,market,sales,orders,profit,running_sales_ytd,sales_ma_3m,prev_month_sales,sales_mom_pct,sales_prev_year_same_month,sales_yoy_pct,otif_rate,market_rank
201612,2016,12,2016-12,Pacific Asia,328521.18,1465,31404.51,4452405.61,333419.426666,312580.48,5.0997,,,16.38225255972696,2
201612,2016,12,2016-12,USCA,40751.05,183,5087.89,5043465.42,40125.743333,47801.35,-14.7491,,,18.579234972677597,4
201701,2017,1,2017-01,Africa,247830.16,1083,30172.55,247830.16,409357.636666,487694.11,-49.1832,,,18.467220683287167,2
201701,2017,1,2017-01,Europe,114012.87,498,11721.14,114012.87,163038.11,180441.81,-36.8146,,,10.441767068273093,4
201701,2017,1,2017-01,LATAM,439543.32,1968,49674.9,439543.32,827292.693333,1027871.5,-57.2375,,,16.158536585365855,1
201701,2017,1,2017-01,Pacific Asia,205248.46,912,19088.7,205248.46,282116.706666,328521.18,-37.5235,268276.4,-23.4936,16.557017543859647,3
201701,2017,1,2017-01,USCA,23063.19,107,4186.56,23063.19,37205.196666,40751.05,-43.4046,,,14.018691588785046,5
201702,2017,2,2017-02,LATAM,992534.88,4299,115111.07,1432078.2,819983.233333,439543.32,125.8104,,,15.794370783903233,1
201703,2017,3,2017-03,LATAM,1048004.76,4711,118688.9,2480082.96,826694.32,992534.88,5.5887,,,16.45085969008703,1
201704,2017,4,2017-04,LATAM,1038321.6,4555,115961.06,3518404.56,1026287.08,1048004.76,-0.9239,,,16.531284302963776,1
201705,2017,5,2017-05,LATAM,1105485.3,4666,115014.64,4623889.86,1063937.22,1038321.6,6.4684,,,16.75953707672525,1
201706,2017,6,2017-06,Europe,450552.06,1896,43381.99,564564.93,248335.58,114012.87,295.1764,22606.92,1892.9829,16.191983122362867,2
201706,2017,6,2017-06,LATAM,581534.41,2456,67017.3,5205424.27,908447.103333,1105485.3,-47.3955,,,17.019543973941367,1
201707,2017,7,2017-07,Europe,1104373.34,4697,113026.7,1668938.27,556312.756666,450552.06,145.1155,1024006.15,7.8483,13.859910581222056,1
201708,2017,8,2017-08,Europe,1109337.15,4655,131501.16,2778275.42,888087.516666,1104373.34,0.4494,1038081.17,6.8642,15.725026852846401,1
201709,2017,9,2017-09,Europe,1143775.09,4558,122462.39,3922050.51,1119161.86,1109337.15,3.1043,1029494.67,11.1006,16.301009214567795,1
201710,2017,10,2017-10,Europe,1073994.16,2228,113447.17,4996044.67,1109035.466666,1143775.09,-6.1009,1018338.58,5.4653,15.125673249551166,1
201711,2017,11,2017-11,Europe,201623.26,682,19361.7,5197667.93,806464.17,1073994.16,-81.2267,780877.85,-74.1799,13.929618768328444,2
201711,2017,11,2017-11,Pacific Asia,425291.11,1373,48429.55,630539.57,319686.916666,205248.46,107.2079,1029120.22,-58.6743,12.964311726147123,1
201712,2017,12,2017-12,Pacific Asia,503910.81,2124,65837.55,1134450.38,378150.126666,425291.11,18.486,1057840.86,-52.3642,13.041431261770246,1
201801,2018,1,2018-01,Pacific Asia,331650.11,2123,33841.89,331650.11,420284.01,503910.81,-34.1847,1046308.23,-68.3028,13.42439943476213,1
